triple,truth
coach josearredondo athleteplayssport sport baseball,1
athlete paulbako athleteplaysinleague sportsleague mlb,1
athlete sidneycrosby athleteplaysforteam sportsteam pittsburghpenguins,1
athlete timtebow athleteplaysforteam sportsteam floridagators,0
personaustralia davidpauley athleteplayssport sport baseball,1
athlete mikelowell athleteplaysforteam sportsteam redsox,1
athlete philsimms athleteplaysforteam sportsteam newyorkgiants,1
athlete joenamath athleteledsportsteam sportsteam newyorkjets,1
athlete hidekiokajima athleteplaysforteam sportsteam newyorkyankees,1
personmexico jasonbay athleteplaysinleague sportsleague mlb,1
athlete tonypena athleteplaysinleague sportsleague mlb,1
athlete curtschilling athleteplaysinleague sportsleague mlb,1
athlete brayanpena athleteplayssport sport baseball,1
sportsleague ncaa leaguestadiums stadiumoreventvenue neylandstadium,1
sportsteam marlins teamhomestadium stadiumoreventvenue dolphinstadium,1
athlete jimleyritz athleteplayssport sport baseball,1
athlete shelleyduncan athleteplaysinleague sportsleague mlb,1
athlete bradbutler athleteplaysforteam sportsteam charlottebobcats,0
athlete scottrolen athleteplayssport sport baseball,1
athlete garycarter athleteplaysinleague sportsleague mlb,1
athlete garycarter athleteplayssport sport baseball,1
athlete jasonisringhausen athleteplaysinleague sportsleague mlb,1
athlete justinhuber athleteplayssport sport baseball,1
athlete clayrapada athleteplaysinleague sportsleague mlb,1
personmexico danuggla athleteplayssport sport baseball,1
athlete vladimirradmanovic athleteledsportsteam sportsteam losangeleslakers,0
athlete georgebrett athleteplaysinleague sportsleague mlb,1
sportsteam newyorkmets teamhomestadium stadiumoreventvenue sheastadium,1
athlete yunieskybetancourt athleteplayssport sport baseball,1
athlete toriihunter athleteplaysinleague sportsleague mlb,1
athlete gaylordperry athleteplaysinleague sportsleague mlb,0
sportsteam oaklandraiders teamplaysinleague sportsleague nfl,1
athlete justinhuber athleteplaysinleague sportsleague mlb,1
athlete toddjones athleteplayssport sport baseball,1
sportsleague ncaa leaguestadiums stadiumoreventvenue bryantdenny,1
athlete alcidesescobar athleteplayssport sport baseball,1
sportsleague nba leaguestadiums stadiumoreventvenue unitedcenter,1
athlete joenathan athleteplayssport sport baseball,1
athlete kevinbrown athleteplaysinleague sportsleague mlb,1
athlete johnnycueto athleteplaysinleague sportsleague mlb,1
athlete paulkonerko athleteplaysinleague sportsleague mlb,1
athlete frankfrancisco athleteplaysforteam sportsteam rangers,0
athlete jaketsakalidis athleteplaysinleague sportsleague mlb,1
athlete mattwieters athleteplaysinleague sportsleague mlb,1
athlete tywigginton athleteplayssport sport baseball,1
coach aaronbrooks athleteplaysforteam sportsteam rockets,1
personmexico carlosbeltran athleteledsportsteam sportsteam newyorkmets,1
sportsleague mlb leaguestadiums stadiumoreventvenue sheastadium,1
athlete morrispeterson athleteplaysforteam sportsteam raptors,1
athlete joeflacco athleteplaysforteam sportsteam baltimorecolts,0
coach markkotsay coachesteam sportsteam atlantabraves,1
athlete hanleyramirez athleteplaysinleague sportsleague mlb,1
sportsteam suns teamplaysinleague sportsleague nba,1
personmexico estebangerman athleteplayssport sport baseball,1
personaustralia derekfisher athleteledsportsteam sportsteam losangeleslakers,1
sportsleague mlb leaguestadiums stadiumoreventvenue tropicanafield,1
sportsleague nfl leaguestadiums stadiumoreventvenue candlestickpark,1
athlete tywigginton athleteplaysinleague sportsleague mlb,1
coach petecarroll worksfor sportsteam usc,1
athlete jeremyhermida athleteplaysforteam sportsteam marlins,0
athlete ericgagne athleteplayssport sport baseball,1
athlete rondellwhite athleteplaysinleague sportsleague mlb,1
athlete felixpie athleteplayssport sport baseball,1
athlete nomargarciaparra athleteplaysforteam sportsteam dodgers,0
athlete homerbailey athleteplayssport sport baseball,1
personmexico johngrabow athleteplayssport sport baseball,1
athlete armandogalarraga athleteplayssport sport baseball,1
athlete yovanigallardo athleteplayssport sport baseball,1
athlete charliebatch athleteplaysforteam sportsteam steelers,0
personmexico miguelcabrera athleteplaysinleague sportsleague mlb,1
sportsteam kansascitychiefs teamplaysinleague sportsleague nfl,1
personmexico clintbarmes athleteledsportsteam sportsteam coloradorockies,0
athlete joshhamilton athleteplayssport sport baseball,1
athlete edwinjackson athleteplayssport sport baseball,1
athlete keiigawa athleteplaysinleague sportsleague mlb,1
athlete ramonortiz athleteplayssport sport baseball,1
athlete jobachamberlain athleteplayssport sport baseball,1
athlete scotthairston athleteplayssport sport baseball,1
athlete tonypena athleteplayssport sport baseball,1
sportsteam titans teamhomestadium stadiumoreventvenue lpfield,1
athlete jakewestbrook athleteplayssport sport baseball,1
sportsteam seattlemariners teamhomestadium stadiumoreventvenue safecofield,1
athlete felixpie athleteplaysinleague sportsleague mlb,1
athlete mikelowell athleteledsportsteam sportsteam redsox,1
athlete aramisramirez athleteplayssport sport baseball,1
sportsteam memphisgrizzlies teamhomestadium stadiumoreventvenue fedexforum,1
athlete hedoturkoglu athleteledsportsteam sportsteam magic,1
athlete kirbypuckett athleteplayssport sport baseball,1
sportsteam titans teamplaysinleague sportsleague nfl,1
athlete nickyoung athleteledsportsteam sportsteam washingtonwizards,0
athlete hunterpence athleteplaysforteam sportsteam houstonastros,0
athlete brianschneider athleteplayssport sport baseball,1
athlete sergioromo athleteplayssport sport baseball,1
athlete elimanning athleteplaysforteam sportsteam newyorkgiants,1
athlete raferalston athleteledsportsteam sportsteam rockets,1
athlete robbiefowler athletehomestadium stadiumoreventvenue anfield,0
athlete mikemussina athleteplayssport sport baseball,1
athlete ajburnett athleteplayssport sport baseball,1
athlete dexterfowler athleteplaysinleague sportsleague mlb,1
athlete garysheffield athleteplaysinleague sportsleague mlb,1
athlete joseguillen athleteplayssport sport baseball,1
coach joseceda athleteplayssport sport baseball,1
athlete jhonnyperalta athleteplayssport sport baseball,1
athlete hidekiokajima athleteplaysinleague sportsleague mlb,1
athlete davidwright athleteledsportsteam sportsteam newyorkmets,1
sportsleague nfl leaguestadiums stadiumoreventvenue soldierfield,1
athlete jeffclement athleteplaysinleague sportsleague mlb,1
athlete carlcrawford athleteplaysforteam sportsteam tampabaydevilrays,1
athlete takashisaito athleteplayssport sport baseball,1
personmexico miguelbatista athleteplayssport sport baseball,1
athlete adambostick athleteplaysinleague sportsleague mlb,1
coach juanencarnacion athleteplaysinleague sportsleague mlb,1
athlete jamesshields athleteplayssport sport baseball,1
athlete jesseorosco athleteplaysinleague sportsleague mlb,1
athlete clayrapada athleteplayssport sport baseball,1
personmexico djmbenga athleteledsportsteam sportsteam coloradorockies,0
athlete edwinencarnacion athleteplaysinleague sportsleague mlb,1
athlete evanlongoria athleteplaysinleague sportsleague mlb,1
sportsleague ncaa leaguestadiums stadiumoreventvenue lanestadium,1
athlete carlcrawford coachesteam sportsteam tampabaydevilrays,1
athlete sambradford athleteledsportsteam sportsteam sooners,1
sportsleague nba leaguestadiums stadiumoreventvenue pepsicenter,1
personmexico scottolsen athleteplayssport sport baseball,1
athlete bretttomko athleteplayssport sport baseball,1
athlete ryanbraun athleteplaysforteam sportsteam brewers,1
coach chuckamato worksfor sportsteam wolfpack,1
athlete paulbako athleteplayssport sport baseball,1
athlete stevetrachsel athleteplayssport sport baseball,1
sportsleague mlb leaguestadiums stadiumoreventvenue progressivefield,1
athlete jessecrain athleteplayssport sport baseball,1
athlete dwyanewade coachesteam sportsteam heat,1
sportsteam michiganstate teamplaysinleague sportsleague ncaa,1
personmexico davidragan athleteplaysinleague sportsleague mlb,1
coach derrickturnbow athleteplaysinleague sportsleague mlb,1
athlete jackierobinson athleteledsportsteam sportsteam brooklyndodgers,1
athlete mattclement athleteplayssport sport baseball,1
athlete mattjoyce athleteplaysinleague sportsleague mlb,1
athlete jacobyellsbury athleteplayssport sport baseball,1
coach changailey coachesteam sportsteam georgiatech,1
athlete randywolf athleteplaysinleague sportsleague mlb,1
athlete jeffkent athleteplaysinleague sportsleague mlb,1
athlete ryandoumit athleteplayssport sport baseball,1
athlete kellyjohnson athleteplaysinleague sportsleague mlb,1
sportsleague nba leaguestadiums stadiumoreventvenue wachoviacenter,1
athlete justinmason athleteplayssport sport baseball,1
sportsleague nba leaguestadiums stadiumoreventvenue staplescenter,1
athlete dontrellewillis athleteplaysinleague sportsleague mlb,1
athlete philrizzuto athleteplayssport sport baseball,1
athlete tracymcgrady athleteplaysforteam sportsteam rockets,1
sportsteam charlottebobcats teamhomestadium stadiumoreventvenue timewarnercableamphitheater,1
athlete melvinmora athleteplayssport sport baseball,1
athlete davidhuff athleteplayssport sport baseball,1
sportsleague nfl leaguestadiums stadiumoreventvenue metrodome,1
personmexico freddysanchez athleteledsportsteam sportsteam pirates,1
athlete ramontroncoso athleteplaysinleague sportsleague mlb,1
athlete estebanloaiza athleteplayssport sport baseball,1
personmexico jefffrancis athleteplayssport sport baseball,1
coach scottproctor athleteplaysinleague sportsleague mlb,1
athlete jeremy athleteledsportsteam sportsteam newyorkgiants,1
sportsteam newyorkyankees teamhomestadium stadiumoreventvenue yankeestadium,1
coach aaronbrooks athleteledsportsteam sportsteam rockets,1
sportsteam pennstatenittanylions teamhomestadium stadiumoreventvenue beaverstadium,1
athlete seanhenn athleteplayssport sport baseball,1
athlete andylaroche athleteplayssport sport baseball,1
sportsteam detroitpistons teamhomestadium stadiumoreventvenue palaceofauburnhills,1
athlete russellmartin athleteplayssport sport baseball,1
athlete johndanks athleteplaysinleague sportsleague mlb,1
athlete justinmason athleteplaysinleague sportsleague mlb,1
personmexico caseykotchman athleteplaysinleague sportsleague mlb,1
athlete mattjoyce athleteplayssport sport baseball,1
coach brianfalkenborg athleteplayssport sport baseball,1
athlete royhalladay athleteplayssport sport baseball,1
athlete kurtwarner athleteledsportsteam sportsteam louiscardinals,0
personmexico melkycabrera athleteplaysforteam sportsteam newyorkyankees,0
athlete timtebow athleteledsportsteam sportsteam floridagators,1
athlete nickmasset athleteplaysinleague sportsleague mlb,1
personmexico josecontreras athleteplaysinleague sportsleague mlb,1
sportsteam newyorkyankees teamplaysinleague sportsleague mlb,1
personmexico danuggla athleteplaysforteam sportsteam marlins,0
personmexico miguelbatista athleteplaysinleague sportsleague mlb,1
coach larryhughes athleteledsportsteam sportsteam chicagobulls,1
athlete kirkhinrich athleteplaysforteam sportsteam chicagobulls,1
athlete tonyromo athleteplaysforteam sportsteam dallascowboys,1
coach chrisvolstad athleteplayssport sport baseball,1
personmexico vladimirguerrero athleteledsportsteam sportsteam anaheimangels,1
athlete kevinslowey athleteplaysinleague sportsleague mlb,1
athlete stephendrew athleteplaysinleague sportsleague mlb,1
sportsleague mlb leaguestadiums stadiumoreventvenue citizenbankpark,1
sportsteam diamondbacks teamhomestadium stadiumoreventvenue chasefield,1
male dondrysdale athleteplayssport sport baseball,1
athlete guillermodiaz athleteledsportsteam sportsteam knicks,0
athlete tonygwynn athleteplaysinleague sportsleague mlb,0
sportsteam clevelandbrowns teamplaysinleague sportsleague nfl,1
personmexico scottkazmir athleteplayssport sport baseball,1
sportsteam sanfrancisco49ers teamplaysinleague sportsleague nfl,1
athlete philcoke athleteplaysinleague sportsleague mlb,1
personmexico freddysanchez athleteplayssport sport baseball,1
athlete hirokikuroda athleteplayssport sport baseball,1
athlete garrettolson athleteplayssport sport baseball,1
athlete senecawallace athleteledsportsteam sportsteam seahawks,1
athlete yorvittorrealba athleteplaysinleague sportsleague mlb,1
personmexico josevalverde athleteplaysinleague sportsleague mlb,1
athlete dirknowitzki athleteplaysforteam sportsteam mavericks,1
athlete kellyshoppach athleteplayssport sport baseball,1
athlete alexeiramirez athleteplaysforteam sportsteam redsox,1
athlete joakimsoria athleteplayssport sport baseball,1
athlete sagerosenfels athleteplaysforteam sportsteam texans,0
sportsteam sandiegochargers teamplaysinleague sportsleague mlb,0
athlete dontrellewillis athleteplayssport sport baseball,1
athlete tylerclippard athleteplaysinleague sportsleague mlb,1
athlete pelfrey athleteplaysforteam sportsteam newyorkmets,1
athlete michaelfinley athleteplaysforteam sportsteam spurs,0
sportsteam n1985chicagobears teamhomestadium stadiumoreventvenue soldierfield,1
personmexico edinsonvolquez athleteplayssport sport baseball,1
athlete tomseaver athleteplaysinleague sportsleague mlb,0
personmexico alfonsosoriano athleteplaysforteam sportsteam chicagocubs,1
athlete ajpierzynski athleteplayssport sport baseball,1
athlete conorjackson athleteplaysforteam sportsteam diamondbacks,0
sportsteam twins teamhomestadium stadiumoreventvenue metrodome,1
athlete johansantana athleteplayssport sport baseball,1
athlete davidprice athleteledsportsteam sportsteam jazz,0
athlete mattflynn athleteplayssport sport baseball,1
athlete andrewmiller athleteledsportsteam sportsteam bucks,1
sportsteam neworleanshornets teamhomestadium stadiumoreventvenue neworleansarena,1
personmexico wandyrodriguez athleteplaysinleague sportsleague mlb,1
athlete chrissnyder athleteplayssport sport baseball,1
athlete joebeimel athleteplayssport sport baseball,1
sportsteam hawks teamhomestadium stadiumoreventvenue philipsarena,1
athlete placidopolanco athleteplayssport sport baseball,1
sportsteam stlouiscardinals teamplaysinleague sportsleague mlb,1
athlete jefffassero athleteplaysinleague sportsleague mlb,1
personmexico hustonstreet athleteplayssport sport baseball,1
personmexico brianbannister athleteplayssport sport baseball,1
athlete joshphelps athleteplayssport sport baseball,1
athlete jongarland athleteplayssport sport baseball,1
athlete luisaparicio athleteplaysinleague sportsleague mlb,1
sportsteam blackhawks teamhomestadium stadiumoreventvenue wrigleyfield,0
athlete peavy athleteplayssport sport baseball,0
athlete pedroia athleteledsportsteam sportsteam redsox,1
athlete brianbuscher athleteplaysinleague sportsleague mlb,1
athlete mattmurton athleteplayssport sport baseball,1
athlete chrissnyder athleteplaysinleague sportsleague mlb,1
sportsteam newyorkgiants teamplaysinleague sportsleague nfl,1
athlete lidstrom athleteplaysforteam sportsteam redwings,1
athlete scottbaker athleteplaysinleague sportsleague mlb,1
athlete williestargell athleteplaysinleague sportsleague mlb,0
personmexico michaelwuertz athleteplaysinleague sportsleague mlb,1
sportsteam utahjazz teamhomestadium stadiumoreventvenue energysolutionsarena,1
coach joshbeckett athleteplaysinleague sportsleague mlb,1
athlete darrencollison athleteledsportsteam sportsteam ucla,0
athlete carsonpalmer athleteplaysforteam sportsteam bengals,0
athlete pudgerodriguez athleteplaysinleague sportsleague mlb,1
athlete blaineboyer athleteplayssport sport baseball,1
personmexico ivanrodriguez athleteplayssport sport baseball,1
sportsteam tennesseevolunteers teamhomestadium stadiumoreventvenue neylandstadium,1
coach brianbruney athleteplayssport sport baseball,1
personmexico clintbarmes athleteplayssport sport baseball,1
athlete blaineboyer athleteplaysinleague sportsleague mlb,1
athlete mattlaporta athleteplaysinleague sportsleague mlb,1
personmexico wandyrodriguez athleteplayssport sport baseball,1
athlete berniewilliams athleteplayssport sport baseball,1
sportsteam stlouiscardinals teamplaysinleague sportsleague mlb,1
athlete kenjijohjima athleteplayssport sport baseball,1
athlete denardspan athleteplayssport sport baseball,1
personmexico lyleoverbay athleteplayssport sport baseball,1
athlete markanderson athleteplaysforteam sportsteam newenglandpatriots,1
athlete bretttomko athleteplaysinleague sportsleague mlb,1
athlete chuckknoblauch athleteplaysinleague sportsleague mlb,1
personasia carlosarroyo athleteplaysforteam sportsteam magic,1
athlete markreynolds athleteledsportsteam sportsteam diamondbacks,1
athlete sidneyponson athleteplayssport sport baseball,1
sportsleague nhl leaguestadiums stadiumoreventvenue verizoncenter,0
athlete markderosa athleteplaysinleague sportsleague mlb,1
athlete rudygay athleteledsportsteam sportsteam memphisgrizzlies,1
sportsteam bengals teamhomestadium stadiumoreventvenue paulbrownstadium,1
athlete alreyes athleteplayssport sport baseball,1
athlete chrischambliss athleteplaysinleague sportsleague mlb,1
athlete mattholliday coachesteam sportsteam coloradorockies,0
sportsteam rockets teamplaysinleague sportsleague nba,1
athlete akinoriiwamura athleteledsportsteam sportsteam tampabaydevilrays,1
sportsleague nfl leaguestadiums stadiumoreventvenue clevelandbrownsstadium,1
personmexico adamlaroche athleteplaysinleague sportsleague mlb,1
athlete shawngreen athleteplaysinleague sportsleague mlb,1
athlete mikeaviles athleteplaysinleague sportsleague mlb,1
personmexico adameverett athleteplaysinleague sportsleague mlb,1
sportsteam sanfranciscogiants teamhomestadium stadiumoreventvenue candlestickpark,1
sportsteam heat teamhomestadium stadiumoreventvenue americanairlinesarena,1
coach kevinkouzmanoff athleteplaysinleague sportsleague mlb,1
personmexico jasonbartlett athleteplayssport sport baseball,1
sportsleague nba leaguestadiums stadiumoreventvenue philipsarena,1
athlete alreyes athleteplaysinleague sportsleague mlb,1
athlete jeffweaver athleteplaysinleague sportsleague mlb,1
athlete chrisyoung athleteplaysinleague sportsleague mlb,1
sportsteam broncos teamhomestadium stadiumoreventvenue invescofield,1
coach richardjefferson athleteledsportsteam sportsteam nets,1
sportsleague nfl leaguestadiums stadiumoreventvenue louisianasuperdome,1
athlete kevincash athleteplayssport sport baseball,1
personmexico brandonphillips athleteplayssport sport baseball,1
athlete kenjijohjima athleteplaysinleague sportsleague mlb,1
personmexico lastingsmilledge athleteplaysforteam sportsteam newyorkmets,1
athlete kerrycollins athleteledsportsteam sportsteam titans,0
coach johnmaine athleteplayssport sport baseball,1
athlete conorjackson athleteledsportsteam sportsteam diamondbacks,1
sportsleague mlb leaguestadiums stadiumoreventvenue yankeestadium,1
athlete cristhianmartinez athleteplayssport sport baseball,1
sportsteam neworleanssaints teamplaysinleague sportsleague nfl,1
athlete ryantheriot athleteplaysinleague sportsleague mlb,1
personasia brettgardner athleteplaysforteam sportsteam chicagocubs,0
athlete andrayblatche athleteledsportsteam sportsteam washingtonwizards,1
athlete bradausmus athleteplayssport sport baseball,1
sportsteam capitals teamhomestadium stadiumoreventvenue verizoncenter,1
athlete brianroberts athleteplaysforteam sportsteam orioles,1
coach mattguerrier athleteplaysinleague sportsleague mlb,1
athlete joemays athleteplayssport sport baseball,1
sportsteam bostonceltics teamhomestadium stadiumoreventvenue tdbanknorthgarden,1
athlete mussina athleteplaysforteam sportsteam newyorkyankees,1
athlete trentedwards athleteplaysforteam sportsteam bills,0
sport baseball sportusesstadium stadiumoreventvenue historicfenwaypark,1
athlete chipperjones athleteledsportsteam sportsteam atlantabraves,1
athlete bradeldred athleteplayssport sport baseball,1
sportsteam pirates teamplaysinleague sportsleague mlb,1
athlete yunelescobar athleteplayssport sport baseball,1
athlete briangiles athleteplayssport sport baseball,1
coach petecarroll coachesteam sportsteam usc,1
athlete kurtbusch athleteplaysforteam sportsteam baltimorecolts,1
sportsleague nfl leaguestadiums stadiumoreventvenue lambeaufield,1
personmexico clintbarmes athleteplaysinleague sportsleague mlb,1
athlete juliofranco athleteplaysinleague sportsleague mlb,1
athlete wilsonchandler athleteledsportsteam sportsteam knicks,0
athlete philhughes athleteplaysinleague sportsleague mlb,1
personmexico chrissampson athleteplayssport sport baseball,1
personmexico marianorivera athleteplaysinleague sportsleague mlb,1
athlete stevecarlton athleteplaysinleague sportsleague mlb,0
personmexico jameswhite athleteledsportsteam sportsteam chicagobulls,0
athlete jimrice athleteledsportsteam sportsteam bostonred,1
athlete bradradke athleteplaysinleague sportsleague mlb,1
athlete dirknowitzki athleteledsportsteam sportsteam mavericks,1
athlete chaseungbaek athleteplaysinleague sportsleague mlb,1
sportsteam steelers teamhomestadium stadiumoreventvenue heinzfield,1
athlete roycering athleteplayssport sport baseball,1
sportsleague nfl leaguestadiums stadiumoreventvenue gillettestadium,1
athlete patneshek athleteplaysinleague sportsleague mlb,1
athlete trentgreen athleteledsportsteam sportsteam rams,1
athlete claudiovargas athleteplaysinleague sportsleague mlb,1
sportsleague mlb leaguestadiums stadiumoreventvenue turnerfield,1
athlete joedimaggio athleteplaysinleague sportsleague mlb,0
sportsteam auburntigers teamplaysinleague sportsleague ncaa,1
sportsleague nba leaguestadiums stadiumoreventvenue neworleansarena,1
sportsleague mlb leaguestadiums stadiumoreventvenue dodgerstadium,1
athlete linaskleiza athleteplaysforteam sportsteam nuggets,1
sportsleague nba leaguestadiums stadiumoreventvenue rosegardenarena,1
athlete jasonphillips athleteplayssport sport baseball,1
athlete nady athleteledsportsteam sportsteam newyorkyankees,1
coach mattguerrier athleteplayssport sport baseball,1
athlete oscarvillarreal athleteplayssport sport baseball,1
personmexico vladimirguerrero athleteplaysforteam sportsteam anaheimangels,1
athlete jeffkarstens athleteplaysinleague sportsleague mlb,1
athlete johansantana athleteplaysinleague sportsleague mlb,1
athlete gaylordperry athleteplayssport sport baseball,1
sportsleague nfl leaguestadiums stadiumoreventvenue cowboysstadium,1
athlete samardosamuels athleteledsportsteam sportsteam louiscardinals,1
athlete dmitriyoung athleteplayssport sport baseball,1
athlete briangiles athleteledsportsteam sportsteam sandiegochargers,1
sportsteam redskins teamplaysinleague sportsleague nfl,1
athlete mikecameron athleteplaysinleague sportsleague mlb,1
athlete jeremyhermida athleteledsportsteam sportsteam marlins,1
athlete josereyes athleteledsportsteam sportsteam newyorkmets,1
sportsteam clippers teamplaysinleague sportsleague nba,1
athlete bradpenny athleteplayssport sport baseball,1
sportsteam rams teamhomestadium stadiumoreventvenue edwardjonesdome,1
personmexico gregbiffle athleteplaysforteam sportsteam dodgers,1
athlete mikecameron athleteplaysforteam sportsteam brewers,1
sportsteam losangeleslakers teamplaysinleague sportsleague nba,1
coach ryanspilborghs athleteplayssport sport baseball,1
athlete princefielder athleteplayssport sport baseball,1
personmexico toddcoffey athleteplaysinleague sportsleague mlb,1
coach kevinyoukilis athleteplayssport sport baseball,1
athlete seanhenn athleteplaysinleague sportsleague mlb,1
athlete derosa athleteplaysforteam sportsteam chicagocubs,1
athlete brianbass athleteplayssport sport baseball,1
athlete markteixeira athleteplaysinleague sportsleague mlb,1
athlete kipwells athleteplayssport sport baseball,1
sportsleague ncaa leaguestadiums stadiumoreventvenue rossadestadium,1
athlete joedimaggio athleteplayssport sport baseball,1
athlete andysonnanstine athleteplayssport sport baseball,1
athlete alanembree athleteplaysinleague sportsleague mlb,1
athlete rickvandenhurk athleteplayssport sport baseball,1
coach joeborowski athleteplaysinleague sportsleague mlb,1
personmexico coreyhart athleteplaysinleague sportsleague mlb,1
male alexrios athleteplayssport sport baseball,1
coach jeffsamardzija athleteplayssport sport baseball,1
athlete clameredith athleteplayssport sport baseball,1
athlete jameycarroll athleteplayssport sport baseball,1
athlete ericgordon athleteledsportsteam sportsteam clippers,1
personmexico mickeycochrane athleteplayssport sport baseball,1
athlete joemorgan athleteplaysinleague sportsleague mlb,1
sportsteam alabamacrimsontide teamhomestadium stadiumoreventvenue bryantdenny,1
athlete jongarland athleteplaysinleague sportsleague mlb,1
athlete philnevin athleteplaysinleague sportsleague mlb,1
sportsteam losangeleslakers teamhomestadium stadiumoreventvenue staplescenter,1
athlete mattryan athleteledsportsteam sportsteam bostoncollege,1
athlete amarestoudemire athleteplaysforteam sportsteam suns,1
athlete jimrice athleteplayssport sport baseball,1
athlete philhughes athleteplayssport sport baseball,1
athlete ronnycedeno athleteplayssport sport baseball,1
athlete pedromartinez athleteplayssport sport baseball,1
athlete andreabargnani athleteplaysforteam sportsteam raptors,1
athlete goosegossage athleteplayssport sport baseball,1
personmexico ryanchurch athleteplaysforteam sportsteam newyorkmets,1
athlete otisnixon athleteplayssport sport baseball,1
coach horacioramirez athleteplaysinleague sportsleague mlb,1
coach derrickturnbow athleteplayssport sport baseball,1
personmexico adamlaroche athleteplayssport sport baseball,1
sportsleague nba leaguestadiums stadiumoreventvenue timewarnercableamphitheater,0
athlete evanmeek athleteplaysinleague sportsleague mlb,1
athlete joeblanton athleteplaysinleague sportsleague mlb,1
coach sethsmith athleteplaysinleague sportsleague mlb,1
sportsteam magic teamhomestadium stadiumoreventvenue amwayarena,1
athlete vladimirradmanovic athleteplaysforteam sportsteam losangeleslakers,1
athlete justinmorneau athleteledsportsteam sportsteam twins,1
athlete jalenrose athleteplaysinleague sportsleague mlb,1
athlete patneshek athleteplayssport sport baseball,1
athlete hidekiokajima athleteledsportsteam sportsteam newyorkyankees,1
coach josejuanbarea athleteledsportsteam sportsteam cavaliers,1
athlete dustinpedroia athleteplaysinleague sportsleague mlb,1
athlete mattflynn athleteplaysinleague sportsleague mlb,0
sportsteam bills teamplaysinleague sportsleague nfl,1
athlete carsonpalmer athletehomestadium stadiumoreventvenue paulbrownstadium,1
sportsleague nba leaguestadiums stadiumoreventvenue tdbanknorthgarden,1
athlete jimleyritz athleteplaysinleague sportsleague mlb,1
athlete cococrisp athleteplaysinleague sportsleague mlb,1
personmexico khalilgreene athleteledsportsteam sportsteam sandiegochargers,0
personmexico adriangonzalez athleteplaysinleague sportsleague mlb,1
athlete rajonrondo athleteledsportsteam sportsteam bostonceltics,1
athlete jasonmotte athleteplaysinleague sportsleague mlb,1
athlete philiprivers athleteledsportsteam sportsteam sandiegochargers,1
athlete movaughn athleteplaysinleague sportsleague mlb,1
athlete randyjohnson athleteplaysinleague sportsleague mlb,1
coach horacioramirez worksfor sportsteam redsox,1
athlete danfouts athleteplaysforteam sportsteam sandiegochargers,1
athlete nolanryan athleteplayssport sport baseball,1
athlete noahlowry athleteledsportsteam sportsteam n1985chicagobears,0
personmexico mattdiaz athleteplayssport sport baseball,1
personmexico raulvaldes athleteplayssport sport baseball,1
athlete shaq athleteledsportsteam sportsteam suns,1
athlete raferalston athleteplaysforteam sportsteam rockets,1
coach paulbyrd athleteplaysinleague sportsleague mlb,1
personmexico mattkemp athleteplayssport sport baseball,1
athlete kevinbrown athleteplayssport sport baseball,1
sportsteam clevelandbrowns teamhomestadium stadiumoreventvenue clevelandbrownsstadium,1
athlete micahowings athleteplaysinleague sportsleague mlb,1
athlete alantrammell athleteplayssport sport baseball,1
personmexico caseykotchman athleteplayssport sport baseball,1
athlete justinverlander athleteplaysinleague sportsleague mlb,1
athlete jesselitsch athleteplaysinleague sportsleague mlb,1
personmexico jorgeposada athleteplaysinleague sportsleague mlb,1
sportsteam knicks teamplaysinleague sportsleague nba,1
athlete mikegonzalez athleteplayssport sport baseball,1
sportsteam clevelandindians teamplaysinleague sportsleague mlb,1
athlete cococrisp athleteplayssport sport baseball,1
athlete stevecarlton athleteplayssport sport baseball,1
coach mikemacdougal athleteplaysinleague sportsleague mlb,1
athlete trentedwards athleteledsportsteam sportsteam bills,1
sportsleague mlb leaguestadiums stadiumoreventvenue petcopark,1
athlete zackgreinke athleteplaysinleague sportsleague mlb,1
athlete adrianbeltre athleteledsportsteam sportsteam seattlemariners,1
athlete scotthairston athleteplaysinleague sportsleague mlb,1
personmexico franciscogarcia athleteplayssport sport baseball,1
athlete carlospena athleteledsportsteam sportsteam tampabaydevilrays,1
athlete bjupton athleteplaysinleague sportsleague mlb,1
athlete adrianbeltre athleteplaysforteam sportsteam seattlemariners,1
athlete ccsabathia athleteplaysinleague sportsleague mlb,1
athlete rajonrondo athleteplaysforteam sportsteam bostonceltics,1
athlete sergioromo athleteplaysinleague sportsleague mlb,1
personmexico morganensberg athleteplayssport sport baseball,1
personmexico jameswhite athletehomestadium stadiumoreventvenue unitedcenter,1
personmexico luiscastillo athleteplaysinleague sportsleague mlb,1
personmexico carlosbeltran athleteplaysforteam sportsteam newyorkmets,1
athlete kirkhinrich athleteledsportsteam sportsteam chicagobulls,1
coach briansanches athleteplayssport sport baseball,1
coach brianbruney athleteplaysinleague sportsleague mlb,1
personmexico gregbiffle athleteledsportsteam sportsteam dodgers,1
personmexico vernonwells athleteledsportsteam sportsteam bluejays,1
personmexico joeinglett athleteplaysinleague sportsleague mlb,1
sportsteam tampabayrays teamplaysinleague sportsleague mlb,1
athlete rossgload athleteplayssport sport baseball,1
athlete eddiemathews athleteplayssport sport baseball,1
athlete noahlowry athleteplaysforteam sportsteam n1985chicagobears,0
athlete mattwilliams athleteplaysinleague sportsleague mlb,1
athlete santiagocasilla athleteplaysinleague sportsleague mlb,1
athlete paulmaholm athleteplaysinleague sportsleague mlb,1
